Sujeto;Canal;Coeficiente;Condicion;Entropia Coeficiente;Entropia FFT;Entropia PSD
0;EEG Fp1;cA8;Relaxed;6.598103457409169;6.079361327802811;3.8341822598973962
0;EEG Fp1;cA8;Stress;6.3215361104537156;5.711879393833199;4.196005524760135
0;EEG Fp1;cD8;Relaxed;6.802058552950338;6.675055129384323;5.671027507652706
0;EEG Fp1;cD8;Stress;6.4137679493496496;6.279557992404037;4.480633864210846
0;EEG Fp1;cD7;Relaxed;6.952203089290451;6.912970903543643;5.929653275014943
0;EEG Fp1;cD7;Stress;6.381068871633309;6.444089552763073;3.830604638352588
0;EEG Fp1;cD6;Relaxed;6.9834016065781945;7.184548327364388;6.392820763091334
0;EEG Fp1;cD6;Stress;6.777872679999228;6.902005893433673;4.430840115357134
0;EEG Fp1;cD5;Relaxed;7.1055322899819044;6.478427499409931;4.851664808764063
0;EEG Fp1;cD5;Stress;7.1899889485648965;6.261553783661291;3.475173577730103
0;EEG Fp1;cD4;Relaxed;7.16410028623286;6.7851631986500225;5.685894798750942
0;EEG Fp1;cD4;Stress;6.983494505635486;6.3603709732483065;2.83508240127111
0;EEG Fp1;cD3;Relaxed;7.110559627290824;6.467854710509028;6.297745859940246
0;EEG Fp1;cD3;Stress;7.000017017835912;5.2817502717401785;3.2402779634676695
0;EEG Fp1;cD2;Relaxed;6.792087180292928;6.427191354801874;5.965538472558284
0;EEG Fp1;cD2;Stress;6.16176551746934;5.416495164720176;2.7147587255739922
0;EEG Fp1;cD1;Relaxed;6.45729386289703;4.894834845439605;6.105847507210297
0;EEG Fp1;cD1;Stress;4.916772212153488;7.071943758923489;6.276390142869212
0;EEG Fp2;cA8;Relaxed;6.526857198820432;5.834961179081959;3.8244093061158204
0;EEG Fp2;cA8;Stress;5.765924165607401;5.79421376743755;3.8298905830129137
0;EEG Fp2;cD8;Relaxed;6.756031564360798;6.761557606788592;5.676474452049073
0;EEG Fp2;cD8;Stress;6.19104111147141;6.379414433638267;4.16547427646166
0;EEG Fp2;cD7;Relaxed;6.782014794523064;6.881969312621882;6.0117257285275345
0;EEG Fp2;cD7;Stress;6.625554594797885;6.897877251610429;3.4069772353255354
0;EEG Fp2;cD6;Relaxed;7.037533471893758;7.159105944739031;6.396620956856241
0;EEG Fp2;cD6;Stress;7.012572299989589;6.953077056967944;4.707636719867895
0;EEG Fp2;cD5;Relaxed;7.119791328438117;6.515692194276779;4.770290388989071
0;EEG Fp2;cD5;Stress;7.112327409284831;6.161540306623174;3.5122846280948283
0;EEG Fp2;cD4;Relaxed;7.188976077376593;6.70850236242371;5.916975197314169
0;EEG Fp2;cD4;Stress;7.163627040977344;6.392986067978902;2.7529989233336365
